,originalfile,renamedfile,samplenumber,prompt
106,DR2/MMDB1/SA1.WAV,sample107.WAV,sample107,SA1
107,DR2/MMDB1/SX95.WAV,sample108.WAV,sample108,SX95
108,DR2/MMDB1/SI2255.WAV,sample109.WAV,sample109,SI2255
109,DR2/MMDB1/SX365.WAV,sample110.WAV,sample110,SX365
110,DR2/FJWB0/SX275.WAV,sample111.WAV,sample111,SX275
111,DR2/FJWB0/SX185.WAV,sample112.WAV,sample112,SX185
112,DR2/FJWB0/SX5.WAV,sample113.WAV,sample113,SX5
113,DR2/FJWB0/SI635.WAV,sample114.WAV,sample114,SI635
114,DR2/FJWB0/SA2.WAV,sample115.WAV,sample115,SA2
115,DR2/FJWB0/SA1.WAV,sample116.WAV,sample116,SA1
116,DR2/FJWB0/SX95.WAV,sample117.WAV,sample117,SX95
117,DR2/FJWB0/SI1265.WAV,sample118.WAV,sample118,SI1265
118,DR2/FJWB0/SI992.WAV,sample119.WAV,sample119,SI992
119,DR2/FJWB0/SX365.WAV,sample120.WAV,sample120,SX365
120,DR2/MGWT0/SI1539.WAV,sample121.WAV,sample121,SI1539
121,DR2/MGWT0/SX369.WAV,sample122.WAV,sample122,SX369
122,DR2/MGWT0/SX279.WAV,sample123.WAV,sample123,SX279
123,DR2/MGWT0/SX9.WAV,sample124.WAV,sample124,SX9
124,DR2/MGWT0/SA2.WAV,sample125.WAV,sample125,SA2
125,DR2/MGWT0/SA1.WAV,sample126.WAV,sample126,SA1
126,DR2/MGWT0/SX99.WAV,sample127.WAV,sample127,SX99
127,DR2/MGWT0/SX189.WAV,sample128.WAV,sample128,SX189
128,DR2/MGWT0/SI2169.WAV,sample129.WAV,sample129,SI2169
129,DR2/MGWT0/SI909.WAV,sample130.WAV,sample130,SI909
130,DR2/MRGG0/SX29.WAV,sample131.WAV,sample131,SX29
131,DR2/MRGG0/SX209.WAV,sample132.WAV,sample132,SX209
132,DR2/MRGG0/SA2.WAV,sample133.WAV,sample133,SA2
133,DR2/MRGG0/SA1.WAV,sample134.WAV,sample134,SA1
134,DR2/MRGG0/SX299.WAV,sample135.WAV,sample135,SX299
135,DR2/MRGG0/SI1199.WAV,sample136.WAV,sample136,SI1199
136,DR2/MRGG0/SI1829.WAV,sample137.WAV,sample137,SI1829
137,DR2/MRGG0/SX119.WAV,sample138.WAV,sample138,SX119
138,DR2/MRGG0/SX389.WAV,sample139.WAV,sample139,SX389
139,DR2/MRGG0/SI569.WAV,sample140.WAV,sample140,SI569
140,DR2/MPDF0/SX12.WAV,sample141.WAV,sample141,SX12
141,DR2/MPDF0/SI912.WAV,sample142.WAV,sample142,SI912
142,DR2/MPDF0/SI1542.WAV,sample143.WAV,sample143,SI1542
143,DR2/MPDF0/SA2.WAV,sample144.WAV,sample144,SA2
144,DR2/MPDF0/SA1.WAV,sample145.WAV,sample145,SA1
145,DR2/MPDF0/SX282.WAV,sample146.WAV,sample146,SX282
146,DR2/MPDF0/SX102.WAV,sample147.WAV,sample147,SX102
147,DR2/MPDF0/SX192.WAV,sample148.WAV,sample148,SX192
148,DR2/MPDF0/SI2172.WAV,sample149.WAV,sample149,SI2172
149,DR2/MPDF0/SX372.WAV,sample150.WAV,sample150,SX372
150,DR2/MDLD0/SX13.WAV,sample151.WAV,sample151,SX13
151,DR2/MDLD0/SA2.WAV,sample152.WAV,sample152,SA2
152,DR2/MDLD0/SA1.WAV,sample153.WAV,sample153,SA1
153,DR2/MDLD0/SI2173.WAV,sample154.WAV,sample154,SI2173
154,DR2/MDLD0/SX103.WAV,sample155.WAV,sample155,SX103
155,DR2/MDLD0/SI913.WAV,sample156.WAV,sample156,SI913
156,DR2/MDLD0/SI1543.WAV,sample157.WAV,sample157,SI1543
157,DR2/MDLD0/SX283.WAV,sample158.WAV,sample158,SX283
158,DR2/MDLD0/SX373.WAV,sample159.WAV,sample159,SX373
159,DR2/MDLD0/SX193.WAV,sample160.WAV,sample160,SX193
160,DR2/MMDM2/SI2082.WAV,sample161.WAV,sample161,SI2082
161,DR2/MMDM2/SX12.WAV,sample162.WAV,sample162,SX12
162,DR2/MMDM2/SI1555.WAV,sample163.WAV,sample163,SI1555
163,DR2/MMDM2/SA2.WAV,sample164.WAV,sample164,SA2
164,DR2/MMDM2/SA1.WAV,sample165.WAV,sample165,SA1
165,DR2/MMDM2/SX282.WAV,sample166.WAV,sample166,SX282
166,DR2/MMDM2/SX102.WAV,sample167.WAV,sample167,SX102
167,DR2/MMDM2/SX192.WAV,sample168.WAV,sample168,SX192
168,DR2/MMDM2/SI1452.WAV,sample169.WAV,sample169,SI1452
169,DR2/MMDM2/SX372.WAV,sample170.WAV,sample170,SX372
170,DR2/FJRE0/SX126.WAV,sample171.WAV,sample171,SX126
171,DR2/FJRE0/SI1746.WAV,sample172.WAV,sample172,SI1746
172,DR2/FJRE0/SI1587.WAV,sample173.WAV,sample173,SI1587
173,DR2/FJRE0/SX306.WAV,sample174.WAV,sample174,SX306
174,DR2/FJRE0/SX36.WAV,sample175.WAV,sample175,SX36
175,DR2/FJRE0/SA2.WAV,sample176.WAV,sample176,SA2
176,DR2/FJRE0/SI1116.WAV,sample177.WAV,sample177,SI1116
177,DR2/FJRE0/SA1.WAV,sample178.WAV,sample178,SA1
178,DR2/FJRE0/SX396.WAV,sample179.WAV,sample179,SX396
179,DR2/FJRE0/SX216.WAV,sample180.WAV,sample180,SX216
180,DR2/MCEM0/SI1398.WAV,sample181.WAV,sample181,SI1398
181,DR2/MCEM0/SX408.WAV,sample182.WAV,sample182,SX408
182,DR2/MCEM0/SX318.WAV,sample183.WAV,sample183,SX318
183,DR2/MCEM0/SA2.WAV,sample184.WAV,sample184,SA2
184,DR2/MCEM0/SA1.WAV,sample185.WAV,sample185,SA1
185,DR2/MCEM0/SX48.WAV,sample186.WAV,sample186,SX48
186,DR2/MCEM0/SX138.WAV,sample187.WAV,sample187,SX138
187,DR2/MCEM0/SX228.WAV,sample188.WAV,sample188,SX228
188,DR2/MCEM0/SI768.WAV,sample189.WAV,sample189,SI768
189,DR2/MCEM0/SI2028.WAV,sample190.WAV,sample190,SI2028
190,DR2/MJAR0/SI1988.WAV,sample191.WAV,sample191,SI1988
191,DR2/MJAR0/SI2247.WAV,sample192.WAV,sample192,SI2247
192,DR2/MJAR0/SI728.WAV,sample193.WAV,sample193,SI728
193,DR2/MJAR0/SX278.WAV,sample194.WAV,sample194,SX278
194,DR2/MJAR0/SA2.WAV,sample195.WAV,sample195,SA2
195,DR2/MJAR0/SX368.WAV,sample196.WAV,sample196,SX368
196,DR2/MJAR0/SA1.WAV,sample197.WAV,sample197,SA1
197,DR2/MJAR0/SX98.WAV,sample198.WAV,sample198,SX98
198,DR2/MJAR0/SX188.WAV,sample199.WAV,sample199,SX188
199,DR2/MJAR0/SX8.WAV,sample200.WAV,sample200,SX8
200,DR2/MABW0/SX404.WAV,sample201.WAV,sample201,SX404
201,DR2/MABW0/SX314.WAV,sample202.WAV,sample202,SX314
202,DR2/MABW0/SI1230.WAV,sample203.WAV,sample203,SI1230
203,DR2/MABW0/SI2294.WAV,sample204.WAV,sample204,SI2294
204,DR2/MABW0/SA2.WAV,sample205.WAV,sample205,SA2
205,DR2/MABW0/SI1664.WAV,sample206.WAV,sample206,SI1664
206,DR2/MABW0/SX44.WAV,sample207.WAV,sample207,SX44
207,DR2/MABW0/SA1.WAV,sample208.WAV,sample208,SA1
208,DR2/MABW0/SX224.WAV,sample209.WAV,sample209,SX224
209,DR2/MABW0/SX134.WAV,sample210.WAV,sample210,SX134
210,DR2/MDBB0/SX205.WAV,sample211.WAV,sample211,SX205
211,DR2/MDBB0/SX385.WAV,sample212.WAV,sample212,SX385
212,DR2/MDBB0/SX115.WAV,sample213.WAV,sample213,SX115
213,DR2/MDBB0/SX25.WAV,sample214.WAV,sample214,SX25
214,DR2/MDBB0/SI1825.WAV,sample215.WAV,sample215,SI1825
215,DR2/MDBB0/SA2.WAV,sample216.WAV,sample216,SA2
216,DR2/MDBB0/SA1.WAV,sample217.WAV,sample217,SA1
217,DR2/MDBB0/SI1195.WAV,sample218.WAV,sample218,SI1195
218,DR2/MDBB0/SI565.WAV,sample219.WAV,sample219,SI565
219,DR2/MDBB0/SX295.WAV,sample220.WAV,sample220,SX295
220,DR2/MWVW0/SX126.WAV,sample221.WAV,sample221,SX126
221,DR2/MWVW0/SI1476.WAV,sample222.WAV,sample222,SI1476
222,DR2/MWVW0/SX306.WAV,sample223.WAV,sample223,SX306
223,DR2/MWVW0/SI846.WAV,sample224.WAV,sample224,SI846
224,DR2/MWVW0/SX36.WAV,sample225.WAV,sample225,SX36
225,DR2/MWVW0/SA2.WAV,sample226.WAV,sample226,SA2
226,DR2/MWVW0/SI2106.WAV,sample227.WAV,sample227,SI2106
227,DR2/MWVW0/SA1.WAV,sample228.WAV,sample228,SA1
228,DR2/MWVW0/SX396.WAV,sample229.WAV,sample229,SX396
229,DR2/MWVW0/SX216.WAV,sample230.WAV,sample230,SX216
230,DR2/MCCS0/SI839.WAV,sample231.WAV,sample231,SI839
231,DR2/MCCS0/SI2099.WAV,sample232.WAV,sample232,SI2099
232,DR2/MCCS0/SX29.WAV,sample233.WAV,sample233,SX29
233,DR2/MCCS0/SI1469.WAV,sample234.WAV,sample234,SI1469
234,DR2/MCCS0/SX209.WAV,sample235.WAV,sample235,SX209
235,DR2/MCCS0/SA2.WAV,sample236.WAV,sample236,SA2
236,DR2/MCCS0/SA1.WAV,sample237.WAV,sample237,SA1
237,DR2/MCCS0/SX299.WAV,sample238.WAV,sample238,SX299
238,DR2/MCCS0/SX119.WAV,sample239.WAV,sample239,SX119
239,DR2/MCCS0/SX389.WAV,sample240.WAV,sample240,SX389
240,DR2/FSLB1/SX374.WAV,sample241.WAV,sample241,SX374
241,DR2/FSLB1/SX104.WAV,sample242.WAV,sample242,SX104
242,DR2/FSLB1/SX14.WAV,sample243.WAV,sample243,SX14
243,DR2/FSLB1/SI644.WAV,sample244.WAV,sample244,SI644
244,DR2/FSLB1/SA2.WAV,sample245.WAV,sample245,SA2
245,DR2/FSLB1/SI1904.WAV,sample246.WAV,sample246,SI1904
246,DR2/FSLB1/SA1.WAV,sample247.WAV,sample247,SA1
247,DR2/FSLB1/SI891.WAV,sample248.WAV,sample248,SI891
248,DR2/FSLB1/SX194.WAV,sample249.WAV,sample249,SX194
249,DR2/FSLB1/SX284.WAV,sample250.WAV,sample250,SX284
250,DR2/FCMR0/SX205.WAV,sample251.WAV,sample251,SX205
251,DR2/FCMR0/SX385.WAV,sample252.WAV,sample252,SX385
252,DR2/FCMR0/SX115.WAV,sample253.WAV,sample253,SX115
253,DR2/FCMR0/SX25.WAV,sample254.WAV,sample254,SX25
254,DR2/FCMR0/SI1105.WAV,sample255.WAV,sample255,SI1105
255,DR2/FCMR0/SA2.WAV,sample256.WAV,sample256,SA2
256,DR2/FCMR0/SA1.WAV,sample257.WAV,sample257,SA1
257,DR2/FCMR0/SI1735.WAV,sample258.WAV,sample258,SI1735
258,DR2/FCMR0/SX295.WAV,sample259.WAV,sample259,SX295
259,DR2/FCMR0/SI475.WAV,sample260.WAV,sample260,SI475
260,DR1/MJSW0/SX380.WAV,sample261.WAV,sample261,SX380
261,DR1/MJSW0/SI1010.WAV,sample262.WAV,sample262,SI1010
262,DR1/MJSW0/SA2.WAV,sample263.WAV,sample263,SA2
263,DR1/MJSW0/SX200.WAV,sample264.WAV,sample264,SX200
264,DR1/MJSW0/SA1.WAV,sample265.WAV,sample265,SA1
265,DR1/MJSW0/SI2270.WAV,sample266.WAV,sample266,SI2270
266,DR1/MJSW0/SX290.WAV,sample267.WAV,sample267,SX290
267,DR1/MJSW0/SX110.WAV,sample268.WAV,sample268,SX110
268,DR1/MJSW0/SI1640.WAV,sample269.WAV,sample269,SI1640
269,DR1/MJSW0/SX20.WAV,sample270.WAV,sample270,SX20
270,DR1/MDAB0/SX319.WAV,sample271.WAV,sample271,SX319
271,DR1/MDAB0/SI2299.WAV,sample272.WAV,sample272,SI2299
272,DR1/MDAB0/SA2.WAV,sample273.WAV,sample273,SA2
273,DR1/MDAB0/SX49.WAV,sample274.WAV,sample274,SX49
274,DR1/MDAB0/SA1.WAV,sample275.WAV,sample275,SA1
275,DR1/MDAB0/SI1039.WAV,sample276.WAV,sample276,SI1039
276,DR1/MDAB0/SX409.WAV,sample277.WAV,sample277,SX409
277,DR1/MDAB0/SX139.WAV,sample278.WAV,sample278,SX139
278,DR1/MDAB0/SX229.WAV,sample279.WAV,sample279,SX229
279,DR1/MDAB0/SI1669.WAV,sample280.WAV,sample280,SI1669
280,DR1/FJEM0/SX274.WAV,sample281.WAV,sample281,SX274
281,DR1/FJEM0/SX184.WAV,sample282.WAV,sample282,SX184
282,DR1/FJEM0/SI1264.WAV,sample283.WAV,sample283,SI1264
283,DR1/FJEM0/SX4.WAV,sample284.WAV,sample284,SX4
284,DR1/FJEM0/SA2.WAV,sample285.WAV,sample285,SA2
285,DR1/FJEM0/SI1894.WAV,sample286.WAV,sample286,SI1894
286,DR1/FJEM0/SA1.WAV,sample287.WAV,sample287,SA1
287,DR1/FJEM0/SX364.WAV,sample288.WAV,sample288,SX364
288,DR1/FJEM0/SI634.WAV,sample289.WAV,sample289,SI634
289,DR1/FJEM0/SX94.WAV,sample290.WAV,sample290,SX94
290,DR1/MREB0/SI2005.WAV,sample291.WAV,sample291,SI2005
291,DR1/MREB0/SX205.WAV,sample292.WAV,sample292,SX205
292,DR1/MREB0/SX385.WAV,sample293.WAV,sample293,SX385
293,DR1/MREB0/SX115.WAV,sample294.WAV,sample294,SX115
294,DR1/MREB0/SX25.WAV,sample295.WAV,sample295,SX25
295,DR1/MREB0/SI1375.WAV,sample296.WAV,sample296,SI1375
296,DR1/MREB0/SA2.WAV,sample297.WAV,sample297,SA2
297,DR1/MREB0/SA1.WAV,sample298.WAV,sample298,SA1
298,DR1/MREB0/SX295.WAV,sample299.WAV,sample299,SX295
299,DR1/MREB0/SI745.WAV,sample300.WAV,sample300,SI745
300,DR1/FELC0/SX126.WAV,sample301.WAV,sample301,SX126
301,DR1/FELC0/SI756.WAV,sample302.WAV,sample302,SI756
302,DR1/FELC0/SI2016.WAV,sample303.WAV,sample303,SI2016
303,DR1/FELC0/SX306.WAV,sample304.WAV,sample304,SX306
304,DR1/FELC0/SI1386.WAV,sample305.WAV,sample305,SI1386
305,DR1/FELC0/SX36.WAV,sample306.WAV,sample306,SX36
306,DR1/FELC0/SA2.WAV,sample307.WAV,sample307,SA2
307,DR1/FELC0/SA1.WAV,sample308.WAV,sample308,SA1
308,DR1/FELC0/SX396.WAV,sample309.WAV,sample309,SX396
309,DR1/FELC0/SX216.WAV,sample310.WAV,sample310,SX216
310,DR1/MSTK0/SI2284.WAV,sample311.WAV,sample311,SI2284
311,DR1/MSTK0/SX394.WAV,sample312.WAV,sample312,SX394
312,DR1/MSTK0/SI2222.WAV,sample313.WAV,sample313,SI2222
313,DR1/MSTK0/SX304.WAV,sample314.WAV,sample314,SX304
314,DR1/MSTK0/SA2.WAV,sample315.WAV,sample315,SA2
315,DR1/MSTK0/SA1.WAV,sample316.WAV,sample316,SA1
316,DR1/MSTK0/SX34.WAV,sample317.WAV,sample317,SX34
317,DR1/MSTK0/SI1024.WAV,sample318.WAV,sample318,SI1024
318,DR1/MSTK0/SX214.WAV,sample319.WAV,sample319,SX214
319,DR1/MSTK0/SX124.WAV,sample320.WAV,sample320,SX124
320,DR1/FDAC1/SX394.WAV,sample321.WAV,sample321,SX394
321,DR1/FDAC1/SX304.WAV,sample322.WAV,sample322,SX304
322,DR1/FDAC1/SA2.WAV,sample323.WAV,sample323,SA2
323,DR1/FDAC1/SA1.WAV,sample324.WAV,sample324,SA1
324,DR1/FDAC1/SX34.WAV,sample325.WAV,sample325,SX34
325,DR1/FDAC1/SX214.WAV,sample326.WAV,sample326,SX214
326,DR1/FDAC1/SI1474.WAV,sample327.WAV,sample327,SI1474
327,DR1/FDAC1/SX124.WAV,sample328.WAV,sample328,SX124
328,DR1/FDAC1/SI844.WAV,sample329.WAV,sample329,SI844
329,DR1/FDAC1/SI2104.WAV,sample330.WAV,sample330,SI2104
330,DR1/MSJS1/SI869.WAV,sample331.WAV,sample331,SI869
331,DR1/MSJS1/SX369.WAV,sample332.WAV,sample332,SX369
332,DR1/MSJS1/SX279.WAV,sample333.WAV,sample333,SX279
333,DR1/MSJS1/SX9.WAV,sample334.WAV,sample334,SX9
334,DR1/MSJS1/SA2.WAV,sample335.WAV,sample335,SA2
335,DR1/MSJS1/SA1.WAV,sample336.WAV,sample336,SA1
336,DR1/MSJS1/SX99.WAV,sample337.WAV,sample337,SX99
337,DR1/MSJS1/SI1899.WAV,sample338.WAV,sample338,SI1899
338,DR1/MSJS1/SX189.WAV,sample339.WAV,sample339,SX189
339,DR1/MSJS1/SI639.WAV,sample340.WAV,sample340,SI639
340,DR1/FAKS0/SX313.WAV,sample341.WAV,sample341,SX313
341,DR1/FAKS0/SX223.WAV,sample342.WAV,sample342,SX223
342,DR1/FAKS0/SI1573.WAV,sample343.WAV,sample343,SI1573
343,DR1/FAKS0/SA2.WAV,sample344.WAV,sample344,SA2
344,DR1/FAKS0/SA1.WAV,sample345.WAV,sample345,SA1
345,DR1/FAKS0/SX43.WAV,sample346.WAV,sample346,SX43
346,DR1/FAKS0/SI943.WAV,sample347.WAV,sample347,SI943
347,DR1/FAKS0/SX403.WAV,sample348.WAV,sample348,SX403
348,DR1/FAKS0/SI2203.WAV,sample349.WAV,sample349,SI2203
349,DR1/FAKS0/SX133.WAV,sample350.WAV,sample350,SX133
350,DR1/MWBT0/SI2183.WAV,sample351.WAV,sample351,SI2183
351,DR1/MWBT0/SX23.WAV,sample352.WAV,sample352,SX23
352,DR1/MWBT0/SA2.WAV,sample353.WAV,sample353,SA2
353,DR1/MWBT0/SA1.WAV,sample354.WAV,sample354,SA1
354,DR1/MWBT0/SI1553.WAV,sample355.WAV,sample355,SI1553
355,DR1/MWBT0/SX113.WAV,sample356.WAV,sample356,SX113
356,DR1/MWBT0/SX383.WAV,sample357.WAV,sample357,SX383
357,DR1/MWBT0/SI923.WAV,sample358.WAV,sample358,SI923
358,DR1/MWBT0/SX203.WAV,sample359.WAV,sample359,SX203
359,DR1/MWBT0/SX293.WAV,sample360.WAV,sample360,SX293
360,DR1/MRJO0/SX374.WAV,sample361.WAV,sample361,SX374
361,DR1/MRJO0/SX104.WAV,sample362.WAV,sample362,SX104
362,DR1/MRJO0/SX14.WAV,sample363.WAV,sample363,SX14
363,DR1/MRJO0/SI734.WAV,sample364.WAV,sample364,SI734
364,DR1/MRJO0/SA2.WAV,sample365.WAV,sample365,SA2
365,DR1/MRJO0/SA1.WAV,sample366.WAV,sample366,SA1
366,DR1/MRJO0/SI1624.WAV,sample367.WAV,sample367,SI1624
367,DR1/MRJO0/SI1364.WAV,sample368.WAV,sample368,SI1364
368,DR1/MRJO0/SX194.WAV,sample369.WAV,sample369,SX194
369,DR1/MRJO0/SX284.WAV,sample370.WAV,sample370,SX284
370,DR3/MLNT0/SX12.WAV,sample371.WAV,sample371,SX12
371,DR3/MLNT0/SI1574.WAV,sample372.WAV,sample372,SI1574
372,DR3/MLNT0/SI642.WAV,sample373.WAV,sample373,SI642
373,DR3/MLNT0/SA2.WAV,sample374.WAV,sample374,SA2
374,DR3/MLNT0/SA1.WAV,sample375.WAV,sample375,SA1
375,DR3/MLNT0/SX282.WAV,sample376.WAV,sample376,SX282
376,DR3/MLNT0/SX102.WAV,sample377.WAV,sample377,SX102
377,DR3/MLNT0/SX192.WAV,sample378.WAV,sample378,SX192
378,DR3/MLNT0/SX372.WAV,sample379.WAV,sample379,SX372
379,DR3/MLNT0/SI1902.WAV,sample380.WAV,sample380,SI1902
380,DR3/MJES0/SX394.WAV,sample381.WAV,sample381,SX394
381,DR3/MJES0/SX304.WAV,sample382.WAV,sample382,SX304
382,DR3/MJES0/SA2.WAV,sample383.WAV,sample383,SA2
