,Unnamed: 0,originalfile,renamedfile,samplenumber,prompt,prompttexts
18,18,DR2/MMAG0/SX316.WAV,sample19.WAV,sample19,SX316,THAT DOG CHASES CATS MERCILESSLY
19,19,DR2/MMAG0/SI496.WAV,sample20.WAV,sample20,SI496,THEY COULD WALK RIDE ON A BUS OR BE DRIVEN
20,20,DR2/MTJG0/SX440.WAV,sample21.WAV,sample21,SX440,THE ADVERTISING VERSE OF PLYMOUTH VARIETY STORE NEVER CHANGES
21,21,DR2/MTJG0/SI890.WAV,sample22.WAV,sample22,SI890,BUT WHY IS IT NECESSARY TO REPRODUCE THE RETINAL IMAGE WITHIN THE BRAIN
22,22,DR2/MTJG0/SX170.WAV,sample23.WAV,sample23,SX170,THE MAYAN NEOCLASSIC SCHOLAR DISAPPEARED WHILE SURVEYING ANCIENT RUINS
23,23,DR2/MTJG0/SI2157.WAV,sample24.WAV,sample24,SI2157,WHO WOULD TAKE OVER
24,24,DR2/MTJG0/SA2.WAV,sample25.WAV,sample25,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
25,25,DR2/MTJG0/SX260.WAV,sample26.WAV,sample26,SX260,REMEMBER TO ALLOW IDENTICAL TWINS TO ENTER FREELY
26,26,DR2/MTJG0/SA1.WAV,sample27.WAV,sample27,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
27,27,DR2/MTJG0/SX350.WAV,sample28.WAV,sample28,SX350,MANY WEALTHY TYCOONS SPLURGED AND BOUGHT BOTH A YACHT AND A SCHOONER
28,28,DR2/MTJG0/SI1520.WAV,sample29.WAV,sample29,SI1520,SOMEBODY'LL HAFTA START THINKIN
29,29,DR2/MTJG0/SX80.WAV,sample30.WAV,sample30,SX80,IT'S ILLEGAL TO POSTDATE A CHECK
30,30,DR2/MKJO0/SI2147.WAV,sample31.WAV,sample31,SI2147,WHEN THEY GOT HOME AT MIDNIGHT SHE WAS TIRED OUT
31,31,DR2/MKJO0/SI1517.WAV,sample32.WAV,sample32,SI1517,HIRED HARD LACKEYS OF THE WARMONGERING CAPITALISTS
32,32,DR2/MKJO0/SI887.WAV,sample33.WAV,sample33,SI887,ANOTHER LONGER STRIP OF TINSEL WHIPPED HIS MOUTH
33,33,DR2/MKJO0/SA2.WAV,sample34.WAV,sample34,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
34,34,DR2/MKJO0/SX437.WAV,sample35.WAV,sample35,SX437,THEY USED AN AGGRESSIVE POLICEMAN TO FLAG THOUGHTLESS MOTORISTS
35,35,DR2/MKJO0/SA1.WAV,sample36.WAV,sample36,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
36,36,DR2/MKJO0/SX167.WAV,sample37.WAV,sample37,SX167,EMPLOYEE LAYOFFS COINCIDED WITH THE COMPANY'S REORGANIZATION
37,37,DR2/MKJO0/SX257.WAV,sample38.WAV,sample38,SX257,WE ARE OPEN EVERY MONDAY EVENING
38,38,DR2/MKJO0/SX424.WAV,sample39.WAV,sample39,SX424,TOP ZINNIAS RARELY HAVE CROOKED STEMS
39,39,DR2/MKJO0/SX77.WAV,sample40.WAV,sample40,SX77,BAGPIPES AND BONGOS ARE MUSICAL INSTRUMENTS
40,40,DR2/MJMD0/SI1028.WAV,sample41.WAV,sample41,SI1028,BUT NOW SHE SANK LOWER TO THE ROCK
41,41,DR2/MJMD0/SI1658.WAV,sample42.WAV,sample42,SI1658,WHERE WERE THEY NOW
42,42,DR2/MJMD0/SI2288.WAV,sample43.WAV,sample43,SI2288,ANOTHER BRAND OF INDEFINITE REFERENCE ARISES OUT OF THE USE OF THE DOUBLE VERB
43,43,DR2/MJMD0/SX128.WAV,sample44.WAV,sample44,SX128,LOTS OF FOREIGN MOVIES HAVE SUBTITLES
44,44,DR2/MJMD0/SX308.WAV,sample45.WAV,sample45,SX308,SHIPBUILDING IS A MOST FASCINATING PROCESS
45,45,DR2/MJMD0/SX398.WAV,sample46.WAV,sample46,SX398,CHILDREN CAN CONSUME MANY FRUIT CANDIES IN ONE SITTING
46,46,DR2/MJMD0/SA2.WAV,sample47.WAV,sample47,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
47,47,DR2/MJMD0/SA1.WAV,sample48.WAV,sample48,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
48,48,DR2/MJMD0/SX38.WAV,sample49.WAV,sample49,SX38,YOUNG PEOPLE PARTICIPATE IN ATHLETIC ACTIVITIES
49,49,DR2/MJMD0/SX218.WAV,sample50.WAV,sample50,SX218,TRY TO RECALL THE EVENTS IN CHRONOLOGICAL ORDER
50,50,DR2/MRMS0/SX390.WAV,sample51.WAV,sample51,SX390,HE PICKED UP NINE PAIRS OF SOCKS FOR EACH BROTHER
51,51,DR2/MRMS0/SX210.WAV,sample52.WAV,sample52,SX210,JEFF'S TOY GO-CART NEVER WORKED
52,52,DR2/MRMS0/SX120.WAV,sample53.WAV,sample53,SX120,THE COYOTE BOBCAT AND HYENA ARE WILD ANIMALS
53,53,DR2/MRMS0/SI2100.WAV,sample54.WAV,sample54,SI2100,THEN AFTER A WHILE SHE WENT TO HER MIRROR
54,54,DR2/MRMS0/SA2.WAV,sample55.WAV,sample55,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
55,55,DR2/MRMS0/SA1.WAV,sample56.WAV,sample56,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
56,56,DR2/MRMS0/SX30.WAV,sample57.WAV,sample57,SX30,GET A CALICO CAT TO KEEP
57,57,DR2/MRMS0/SI2057.WAV,sample58.WAV,sample58,SI2057,HE STROLLED BACK TO THE DOOR WHISTLING SOFTLY HANDS STILL CLASPED BEHIND HIM
58,58,DR2/MRMS0/SI1113.WAV,sample59.WAV,sample59,SI1113,WHETHER HISTORICALLY A FACT OR NOT THE LEGEND HAS A CERTAIN SYMBOLIC VALUE
59,59,DR2/MRMS0/SX300.WAV,sample60.WAV,sample60,SX300,AMOEBAS CHANGE SHAPE CONSTANTLY
60,60,DR2/MPPC0/SI1412.WAV,sample61.WAV,sample61,SI1412,AND THE SURFACE IS DRIVEN BACK IN ITS VERY SURFACENESS ONLY BY THIS CONTRAST
61,61,DR2/MPPC0/SI2042.WAV,sample62.WAV,sample62,SI2042,YOU CAME WELL EQUIPPED TO DIE
62,62,DR2/MPPC0/SI782.WAV,sample63.WAV,sample63,SI782,THE DECKING IS QUARTER-INCH MAHOGANY MARINE PLYWOOD
63,63,DR2/MPPC0/SX242.WAV,sample64.WAV,sample64,SX242,MAY I ORDER A STRAWBERRY SUNDAE AFTER I EAT DINNER
64,64,DR2/MPPC0/SA2.WAV,sample65.WAV,sample65,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
65,65,DR2/MPPC0/SX332.WAV,sample66.WAV,sample66,SX332,TODD PLACED TOP PRIORITY ON GETTING HIS BIKE FIXED
66,66,DR2/MPPC0/SA1.WAV,sample67.WAV,sample67,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
67,67,DR2/MPPC0/SX152.WAV,sample68.WAV,sample68,SX152,MOSQUITOES EXIST IN WARM HUMID CLIMATES
68,68,DR2/MPPC0/SX422.WAV,sample69.WAV,sample69,SX422,ONCE YOU FINISH GREASING YOUR CHAIN BE SURE TO WASH THOROUGHLY
69,69,DR2/MPPC0/SX62.WAV,sample70.WAV,sample70,SX62,ANY CONTRIBUTIONS WILL BE GREATLY APPRECIATED
70,70,DR2/FMMH0/SX187.WAV,sample71.WAV,sample71,SX187,THEY OFTEN GO OUT IN THE EVENING
71,71,DR2/FMMH0/SX97.WAV,sample72.WAV,sample72,SX97,PENGUINS LIVE NEAR THE ICY ANTARCTIC
72,72,DR2/FMMH0/SA2.WAV,sample73.WAV,sample73,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
73,73,DR2/FMMH0/SA1.WAV,sample74.WAV,sample74,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
74,74,DR2/FMMH0/SI2167.WAV,sample75.WAV,sample75,SI2167,A SMILE PULLED AT THE LOWER STRIP OF ADHESIVE TAPE
75,75,DR2/FMMH0/SX420.WAV,sample76.WAV,sample76,SX420,SEAMSTRESSES ATTACH ZIPPERS WITH A THIMBLE NEEDLE AND THREAD
76,76,DR2/FMMH0/SX367.WAV,sample77.WAV,sample77,SX367,THE SURPLUS SHOES WERE SOLD AT A DISCOUNT PRICE
77,77,DR2/FMMH0/SX7.WAV,sample78.WAV,sample78,SX7,NOTHING IS AS OFFENSIVE AS INNOCENCE
78,78,DR2/FMMH0/SI907.WAV,sample79.WAV,sample79,SI907,SOMEHOW WE OLD-TIMERS NEVER FIGURED WE WOULD EVER RETIRE
79,79,DR2/FMMH0/SI1537.WAV,sample80.WAV,sample80,SI1537,IT WOULD BE WELL TO SHOW THE POPULACE HOW WE DEAL WITH ADULTERERS
80,80,DR2/FDXW0/SI881.WAV,sample81.WAV,sample81,SI881,BEFORE THAT WE LUMBER DEALERS WERE WORKING ALMOST SINGLE-HANDED ON THE PROBLEM
81,81,DR2/FDXW0/SX251.WAV,sample82.WAV,sample82,SX251,WE APPLY AUDITORY MODELING TO COMPUTER SPEECH RECOGNITION
82,82,DR2/FDXW0/SX431.WAV,sample83.WAV,sample83,SX431,THE FIFTH JAR CONTAINS BIG JUICY PEACHES
83,83,DR2/FDXW0/SA2.WAV,sample84.WAV,sample84,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
84,84,DR2/FDXW0/SI2141.WAV,sample85.WAV,sample85,SI2141,IT WAS NOBODY'S FAULT
85,85,DR2/FDXW0/SA1.WAV,sample86.WAV,sample86,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
86,86,DR2/FDXW0/SX71.WAV,sample87.WAV,sample87,SX71,PORCUPINES RESEMBLE SEA URCHINS
87,87,DR2/FDXW0/SX341.WAV,sample88.WAV,sample88,SX341,THE HIGH SECURITY PRISON WAS SURROUNDED BY BARBED WIRE
88,88,DR2/FDXW0/SI1511.WAV,sample89.WAV,sample89,SI1511,FIDDLES SCREECHED A PIANO TINKLED
89,89,DR2/FDXW0/SX161.WAV,sample90.WAV,sample90,SX161,AS A PRECAUTION THE OUTLAWS BOUGHT GUNPOWDER FOR THEIR STRONGHOLD
90,90,DR2/MCTM0/SX360.WAV,sample91.WAV,sample91,SX360,I ASSUME MOISTURE WILL DAMAGE THIS SHIP'S HULL
91,91,DR2/MCTM0/SX270.WAV,sample92.WAV,sample92,SX270,ARE HOLIDAY APRONS AVAILABLE TO US
92,92,DR2/MCTM0/SI1980.WAV,sample93.WAV,sample93,SI1980,HIGH SO IT WOULD ONLY BOUNCE HARMLESSLY BUT LOUDLY OFF THE CAR'S STEEL ROOF
93,93,DR2/MCTM0/SX450.WAV,sample94.WAV,sample94,SX450,ROY IGNORED THE SPURIOUS DATA POINTS IN DRAWING THE GRAPH
94,94,DR2/MCTM0/SA2.WAV,sample95.WAV,sample95,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
95,95,DR2/MCTM0/SI720.WAV,sample96.WAV,sample96,SI720,FILE TO A SMOOTH FINISH
96,96,DR2/MCTM0/SA1.WAV,sample97.WAV,sample97,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
97,97,DR2/MCTM0/SX180.WAV,sample98.WAV,sample98,SX180,ALMOST ALL COLLEGES ARE NOW COEDUCATIONAL
98,98,DR2/MCTM0/SX90.WAV,sample99.WAV,sample99,SX90,THE THINKER IS A FAMOUS SCULPTURE
99,99,DR2/MCTM0/SI1350.WAV,sample100.WAV,sample100,SI1350,IT GIVES SOCIAL GUIDANCE AND DIRECTION AND MAKES FOR PROGRAMS OF SOCIAL ACTION
100,100,DR2/MDMT0/SX302.WAV,sample101.WAV,sample101,SX302,TOFU IS MADE FROM PROCESSED SOYBEANS
101,101,DR2/MDMT0/SA2.WAV,sample102.WAV,sample102,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
102,102,DR2/MDMT0/SI2341.WAV,sample103.WAV,sample103,SI2341,YES YES WE'LL LET YOU KNOW
103,103,DR2/MDMT0/SA1.WAV,sample104.WAV,sample104,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
104,104,DR2/MDMT0/SX122.WAV,sample105.WAV,sample105,SX122,ENCYCLOPEDIAS SELDOM PRESENT ANECDOTAL EVIDENCE
105,105,DR2/MDMT0/SX212.WAV,sample106.WAV,sample106,SX212,I GAVE THEM SEVERAL CHOICES AND LET THEM SET THE PRIORITIES
106,106,DR2/MDMT0/SI572.WAV,sample107.WAV,sample107,SI572,SEWING BRINGS NUMBNESS WRITES WHAT MAKES MY HANDS NUMB WHEN SEWING
107,107,DR2/MDMT0/SX392.WAV,sample108.WAV,sample108,SX392,A YOUNG MOUSE SCAMPERED ACROSS THE FIELD AND DISAPPEARED
108,108,DR2/MDMT0/SI1832.WAV,sample109.WAV,sample109,SI1832,YOU ARE RIGHT NOW BUDDY
109,109,DR2/MDMT0/SX32.WAV,sample110.WAV,sample110,SX32,IT'S FUN TO ROAST MARSHMALLOWS ON A GAS BURNER
110,110,DR2/FTMG0/SI902.WAV,sample111.WAV,sample111,SI902,THE SOURCE IS KNOWN SO THERE IS NO NECESSITY TO REMOVE INSECTICIDE RESIDUES
111,111,DR2/FTMG0/SX92.WAV,sample112.WAV,sample112,SX92,A LARGE HOUSEHOLD NEEDS LOTS OF APPLIANCES
112,112,DR2/FTMG0/SI2162.WAV,sample113.WAV,sample113,SI2162,HIS VOICE SEEMED THICK AND PURPOSELESS
113,113,DR2/FTMG0/SA2.WAV,sample114.WAV,sample114,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
114,114,DR2/FTMG0/SA1.WAV,sample115.WAV,sample115,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
115,115,DR2/FTMG0/SX452.WAV,sample116.WAV,sample116,SX452,IN DEVELOPING FILM MANY TOXIC CHEMICALS ARE USED
116,116,DR2/FTMG0/SX182.WAV,sample117.WAV,sample117,SX182,THICK GLUE OOZED OUT OF THE TUBE
117,117,DR2/FTMG0/SX362.WAV,sample118.WAV,sample118,SX362,THE ANNOYING RACCOONS SLIPPED INTO PHIL'S GARDEN EVERY NIGHT
118,118,DR2/FTMG0/SX272.WAV,sample119.WAV,sample119,SX272,ALLOW EACH CHILD TO HAVE AN ICE POP
119,119,DR2/FTMG0/SI1532.WAV,sample120.WAV,sample120,SI1532,NEITHER BETTER NOR WORSE
120,120,DR2/MDWD0/SX360.WAV,sample121.WAV,sample121,SX360,I ASSUME MOISTURE WILL DAMAGE THIS SHIP'S HULL
121,121,DR2/MDWD0/SX270.WAV,sample122.WAV,sample122,SX270,ARE HOLIDAY APRONS AVAILABLE TO US
122,122,DR2/MDWD0/SX450.WAV,sample123.WAV,sample123,SX450,ROY IGNORED THE SPURIOUS DATA POINTS IN DRAWING THE GRAPH
123,123,DR2/MDWD0/SA2.WAV,sample124.WAV,sample124,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
124,124,DR2/MDWD0/SA1.WAV,sample125.WAV,sample125,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
125,125,DR2/MDWD0/SX180.WAV,sample126.WAV,sample126,SX180,ALMOST ALL COLLEGES ARE NOW COEDUCATIONAL
126,126,DR2/MDWD0/SX90.WAV,sample127.WAV,sample127,SX90,THE THINKER IS A FAMOUS SCULPTURE
127,127,DR2/MDWD0/SI1890.WAV,sample128.WAV,sample128,SI1890,ALTHOUGH MY SHOT KILLED HIS HORSE HE ROLLED OFF THE BALE ON TOP OF ME
128,128,DR2/MDWD0/SI557.WAV,sample129.WAV,sample129,SI557,HOW DO THEY TURN OUT LATER
129,129,DR2/MDWD0/SI1260.WAV,sample130.WAV,sample130,SI1260,UNIT PRICES FOR STATE VEHICLES ARE INVARIABLY LOWER THAN TO THE GENERAL PUBLIC
130,130,DR2/MMDS0/SX443.WAV,sample131.WAV,sample131,SX443,A LONE STAR SHONE IN THE EARLY EVENING SKY
131,131,DR2/MMDS0/SX83.WAV,sample132.WAV,sample132,SX83,MY INSTRUCTIONS DESPERATELY NEED UPDATING
132,132,DR2/MMDS0/SX263.WAV,sample133.WAV,sample133,SX263,HOW OILY DO YOU LIKE YOUR SALAD DRESSING
133,133,DR2/MMDS0/SI1973.WAV,sample134.WAV,sample134,SI1973,THE ENEMY DID NOT VEER
134,134,DR2/MMDS0/SX173.WAV,sample135.WAV,sample135,SX173,WHOEVER COOPERATES IN FINDING NAN'S CAMEO WILL BE REWARDED
135,135,DR2/MMDS0/SX353.WAV,sample136.WAV,sample136,SX353,A CONNOISSEUR WILL ENJOY THIS SHELLFISH DISH
136,136,DR2/MMDS0/SA2.WAV,sample137.WAV,sample137,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
137,137,DR2/MMDS0/SA1.WAV,sample138.WAV,sample138,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
138,138,DR2/MMDS0/SI713.WAV,sample139.WAV,sample139,SI713,WHAT TARGETS HAVE WE SUCCESSFULLY KNOCKED OUT
139,139,DR2/MMDS0/SI1343.WAV,sample140.WAV,sample140,SI1343,WE NOW GENERALIZE THESE IDEAS FOR GENERAL BINOMIAL EXPERIMENTS
140,140,DR2/MPRB0/SI1215.WAV,sample141.WAV,sample141,SI1215,THIS TRUTH THAT THE MORAL LAW IS NATURAL HAS OTHER IMPORTANT COROLLARIES
141,141,DR2/MPRB0/SI1205.WAV,sample142.WAV,sample142,SI1205,BUT WE AREN'T GOING TO LET YOU GIVE HIM ANY
142,142,DR2/MPRB0/SX35.WAV,sample143.WAV,sample143,SX35,HELP CELEBRATE YOUR BROTHER'S SUCCESS
143,143,DR2/MPRB0/SX395.WAV,sample144.WAV,sample144,SX395,I TOOK HER WORD FOR IT BUT IS SHE REALLY GOING WITH YOU
144,144,DR2/MPRB0/SX215.WAV,sample145.WAV,sample145,SX215,THE SERMON EMPHASIZED THE NEED FOR AFFIRMATIVE ACTION
145,145,DR2/MPRB0/SX305.WAV,sample146.WAV,sample146,SX305,COTTAGE CHEESE WITH CHIVES IS DELICIOUS
146,146,DR2/MPRB0/SA2.WAV,sample147.WAV,sample147,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
147,147,DR2/MPRB0/SA1.WAV,sample148.WAV,sample148,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
148,148,DR2/MPRB0/SX125.WAV,sample149.WAV,sample149,SX125,WESTCHESTER IS A COUNTY IN NEW YORK
149,149,DR2/MPRB0/SI575.WAV,sample150.WAV,sample150,SI575,HE DOESN'T WANT HER TO LOOK FROWNINGLY AT HIM OR SPEAK TO HIM ANGRILY
150,150,DR2/MJHI0/SX428.WAV,sample151.WAV,sample151,SX428,A CRAB CHALLENGED ME BUT A QUICK STAB VANQUISHED HIM
151,151,DR2/MJHI0/SX338.WAV,sample152.WAV,sample152,SX338,THE DARK MURKY LAGOON WOUND AROUND FOR MILES
152,152,DR2/MJHI0/SX158.WAV,sample153.WAV,sample153,SX158,THE DRUNKARD IS A SOCIAL OUTCAST
153,153,DR2/MJHI0/SA2.WAV,sample154.WAV,sample154,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
154,154,DR2/MJHI0/SA1.WAV,sample155.WAV,sample155,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
155,155,DR2/MJHI0/SI1328.WAV,sample156.WAV,sample156,SI1328,IT IS POSSIBLE TO MAKE A FEW GENERALIZATIONS ABOUT THE SIX GIANTS THEMSELVES
156,156,DR2/MJHI0/SX248.WAV,sample157.WAV,sample157,SX248,READING IN POOR LIGHT GIVES YOU EYESTRAIN
157,157,DR2/MJHI0/SI555.WAV,sample158.WAV,sample158,SI555,ONLY INGENUITY WILL UNCOVER IT
158,158,DR2/MJHI0/SX68.WAV,sample159.WAV,sample159,SX68,UPGRADE YOUR STATUS TO REFLECT YOUR WEALTH
159,159,DR2/MJHI0/SI698.WAV,sample160.WAV,sample160,SI698,THE CRISIS LATER ON WHEN DEBTS SEEMED ABOUT TO OVERWHELM ME
160,160,DR2/MDPS0/SX359.WAV,sample161.WAV,sample161,SX359,THE SYSTEM MAY BREAK DOWN SOON SO SAVE YOUR FILES FREQUENTLY
161,161,DR2/MDPS0/SI719.WAV,sample162.WAV,sample162,SI719,INDUSTRY INTEREST IN SAFETY GOES EVEN FARTHER
162,162,DR2/MDPS0/SX269.WAV,sample163.WAV,sample163,SX269,DO ATYPICAL FARMERS GROW OATS
163,163,DR2/MDPS0/SI1651.WAV,sample164.WAV,sample164,SI1651,SHE LOOKED AT ME PROVOCATIVELY
164,164,DR2/MDPS0/SX89.WAV,sample165.WAV,sample165,SX89,IT'S HARD TO TELL AN ORIGINAL FROM A FORGERY
165,165,DR2/MDPS0/SA2.WAV,sample166.WAV,sample166,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
166,166,DR2/MDPS0/SA1.WAV,sample167.WAV,sample167,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
167,167,DR2/MDPS0/SX179.WAV,sample168.WAV,sample168,SX179,WE COULD BARELY SEE THE FJORDS THROUGH THE SNOW FLURRIES
168,168,DR2/MDPS0/SX449.WAV,sample169.WAV,sample169,SX449,RALPH PREPARED RED SNAPPER WITH FRESH LEMON SAUCE FOR DINNER
169,169,DR2/MDPS0/SI1979.WAV,sample170.WAV,sample170,SI1979,WE WERE OFF THE ROAD GLEAMING BARBED WIRE PULLING TAUT
170,170,DR2/MBJV0/SI617.WAV,sample171.WAV,sample171,SI617,THE STORYLINE IN SORT IS WILDLY UNREALISTIC
171,171,DR2/MBJV0/SI1247.WAV,sample172.WAV,sample172,SI1247,NO POETRY NO AIRPLANES NO DANCERS
172,172,DR2/MBJV0/SA2.WAV,sample173.WAV,sample173,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
173,173,DR2/MBJV0/SX347.WAV,sample174.WAV,sample174,SX347,THE PATIENT AND THE SURGEON ARE BOTH RECUPERATING FROM THE LENGTHY OPERATION
174,174,DR2/MBJV0/SX437.WAV,sample175.WAV,sample175,SX437,THEY USED AN AGGRESSIVE POLICEMAN TO FLAG THOUGHTLESS MOTORISTS
175,175,DR2/MBJV0/SA1.WAV,sample176.WAV,sample176,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
176,176,DR2/MBJV0/SI1877.WAV,sample177.WAV,sample177,SI1877,THERE'S NO CHANCE NOW OF ALL OF US GETTING AWAY
177,177,DR2/MBJV0/SX167.WAV,sample178.WAV,sample178,SX167,EMPLOYEE LAYOFFS COINCIDED WITH THE COMPANY'S REORGANIZATION
178,178,DR2/MBJV0/SX257.WAV,sample179.WAV,sample179,SX257,WE ARE OPEN EVERY MONDAY EVENING
179,179,DR2/MBJV0/SX77.WAV,sample180.WAV,sample180,SX77,BAGPIPES AND BONGOS ARE MUSICAL INSTRUMENTS
180,180,DR2/MZMB0/SX86.WAV,sample181.WAV,sample181,SX86,HISPANIC COSTUMES ARE QUITE COLORFUL
181,181,DR2/MZMB0/SX356.WAV,sample182.WAV,sample182,SX356,DIANE MAY SPLURGE AND BUY A TURQUOISE NECKLACE
182,182,DR2/MZMB0/SI1796.WAV,sample183.WAV,sample183,SI1796,HIS EYES BURNED FEVERISHLY
183,183,DR2/MZMB0/SA2.WAV,sample184.WAV,sample184,SA2,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT
184,184,DR2/MZMB0/SX266.WAV,sample185.WAV,sample185,SX266,WITHDRAW ONLY AS MUCH MONEY AS YOU NEED
185,185,DR2/MZMB0/SA1.WAV,sample186.WAV,sample186,SA1,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR
186,186,DR2/MZMB0/SX176.WAV,sample187.WAV,sample187,SX176,BUYING A THOROUGHBRED HORSE REQUIRES INTUITION AND EXPERTISE
187,187,DR2/MZMB0/SX446.WAV,sample188.WAV,sample188,SX446,THOMAS THINKS A LARGER CLAMP SOLVES THE PROBLEM
188,188,DR2/MZMB0/SI1166.WAV,sample189.WAV,sample189,SI1166,IN THE COURSE OF ITS INQUIRY IT TOOK TESTIMONY FROM ONLY SEVEN WITNESSES
189,189,DR2/MZMB0/SI536.WAV,sample190.WAV,sample190,SI536,SO WE NOTE APPROVINGLY A FRESH SAMPLE OF UNANIMITY
190,190,DR2/MDLB0/SX406.WAV,sample191.WAV,sample191,SX406,THERE WAS A GIGANTIC WASP NEXT TO IRVING'S BIG TOP HAT
191,191,DR2/MDLB0/SI1936.WAV,sample192.WAV,sample192,SI1936,WE'LL RIDE OUT AS SOON AS WE'VE HAD CHUCK
